date,amount,currency,category,desc
2025-08-03,2104.69,INR,Software,IDE license
2025-08-05,415.5,INR,Food,Team snacks
2025-08-05,2034.9,INR,Marketing,Facebook ads
2025-08-06,7276.56,INR,Software,IDE license
2025-08-06,225.91,USD,Accommodation,Hotel stay
2025-08-07,1232.79,INR,Transport,Metro passes
2025-08-08,48717.0,INR,Travel,Seat selection
2025-08-09,38951.51,INR,Marketing,Google Ads
2025-08-09,985.56,INR,Transport,Fuel reimbursement
2025-08-10,42717.45,INR,Travel,Flight ticket
2025-08-11,-350.0,INR,Food,Refund - duplicate charge
2025-08-11,21426.35,INR,Cloud,Compute instance
2025-08-12,16001.41,INR,Cloud,Storage bucket
2025-08-12,8973.79,INR,Accommodation,Airbnb
2025-08-13,54.62,EUR,Subscription,SaaS monthly plan
2025-08-14,9312.38,INR,Accommodation,Airbnb
2025-08-15,21228.45,INR,Training,Online course
2025-08-16,217.85,USD,Food,Team snacks
2025-08-17,708.32,USD,Software,Password manager
2025-08-18,11246.92,INR,Marketing,LinkedIn campaign
2025-08-18,5954.82,INR,Accommodation,Airbnb
2025-08-19,22676.79,INR,Travel,Flight ticket
2025-08-19,4545.47,INR,Marketing,Facebook ads
2025-08-21,20009.9,INR,Training,Workshop fee
2025-08-23,2989.53,INR,Entertainment,Streaming service
2025-08-23,477.8,EUR,Marketing,Facebook ads
2025-08-24,3677.25,INR,Training,Workshop fee
2025-08-25,4778.32,INR,Office Supplies,Markers
2025-08-26,730.54,USD,Marketing,LinkedIn campaign
2025-08-27,15615.29,INR,Training,Online course
2025-08-28,17349.0,INR,Accommodation,Airbnb
2025-08-30,736.97,INR,Office Supplies,Notebooks
2025-08-31,3270.02,INR,Software,Password manager
2025-09-03,992.61,INR,Office Supplies,Markers
2025-09-03,104.98,USD,Transport,Fuel reimbursement
2025-09-04,512.3,EUR,Software,IDE license
2025-09-04,6165.19,INR,Subscription,Newsletter premium
2025-09-05,5719.16,INR,Marketing,Facebook ads
2025-09-05,-19.99,USD,Subscription,Refund - trial cancellation
2025-09-05,209.95,INR,Transport,Fuel reimbursement
2025-09-06,1920.66,INR,Travel,Seat selection
2025-09-08,234.65,EUR,Transport,Fuel reimbursement
2025-09-09,433.69,USD,Cloud,DB instance
2025-09-10,328.61,USD,Software,IDE license
2025-09-10,341.75,USD,Transport,Metro passes
2025-09-14,12068.71,INR,Subscription,SaaS monthly plan
2025-09-14,2687.4,INR,Software,Design tool
2025-09-15,1052.07,INR,Entertainment,Team movie night
2025-09-17,2972.94,INR,Marketing,LinkedIn campaign
2025-09-17,2330.64,INR,Food,Team snacks
2025-09-18,1599.67,INR,Entertainment,Streaming service
2025-09-20,2960.33,INR,Entertainment,Streaming service
2025-09-21,17505.81,INR,Cloud,DB instance
2025-09-21,128.06,USD,Marketing,Google Ads
2025-09-22,1892.2,INR,Food,Lunch with client
2025-09-23,1543.61,INR,Food,Team snacks
2025-09-26,343.69,INR,Transport,Taxi to airport
2025-09-27,407.35,EUR,Transport,Taxi to airport
2025-09-27,26024.66,INR,Travel,Seat selection
2025-09-28,16842.23,INR,Cloud,Storage bucket
2025-09-29,3532.69,INR,Cloud,DB instance
2025-09-30,4659.29,INR,Office Supplies,Printer ink
2025-10-02,59771.64,INR,Travel,Flight ticket
2025-10-02,20729.5,INR,Marketing,Facebook ads
2025-10-03,203.07,EUR,Transport,Metro passes
2025-10-04,11.22,USD,Travel,Seat selection
2025-10-05,23534.32,INR,Training,Online course
2025-10-06,389.49,EUR,Transport,Metro passes
2025-10-07,43480.31,INR,Travel,Flight ticket
2025-10-08,10793.73,INR,Marketing,Facebook ads
